Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,,,,,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1786.468,11.031,0_20160726_000859_468,26/07/2016,00:08:59,0,25/07/2016,12:08:59,12,PIPY,101,91,0.403085,BABA;RHFE;MYNA,105,55.423,36.04,4.135,69.082,54.143,58.152,82.602,57.235,1.515,281.155,3.804,32.21,1,PIPY RHFE,,,1917,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1975.527,2.872,0_20160728_000908_527,28/07/2016,00:09:08,0,27/07/2016,12:09:08,12,RHFE,13,13,0.69422,,13,82.033,-1.68,18.84,83.356,73.882,81.46,89.462,81.727,1.491,102.73,17.324,8.28,1,RHFE,,,1594,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,2113.217,98.281,0_20160729_000927_217,29/07/2016,00:09:27,0,28/07/2016,12:09:27,12,PIPY,688,614,0.395377,BABA;PIPI;MYBR;MYBE;RHFE;MYNA;MYDAU;PLAUR;EPSE;NYLE,748,54.959,35.79,3.576,66.643,53.595,57.354,121.528,56.812,1.352,317.856,3.22,234.98,1,MYO PIPY MYO PIPY RHFE MYO PIPY RHFE PIPY MYO MYO PIPY MYO,,,2431,2,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1832.004,46.595,0_20160726_000945_004,26/07/2016,00:09:45,0,25/07/2016,12:09:45,12,PIPY,373,346,0.478755,BABA;MYNA;RHFE;MYBE;VEMU;PLAUR;NYLE,387,54.368,42.97,3.427,66.484,53.523,56.895,114.926,56.38,1.406,336.372,3.094,115.28,1,PIPY PIPY RHFE RHFE,,,2313,2,
Buckfastleigh,,124,A2,,20160730_233140.wac,0,2291.048,2.051,0_20160731_000951_048,31/07/2016,00:09:51,0,30/07/2016,12:09:51,12,RHFE,2,2,0.78187,,2,81.242,-3.12,5.182,82.075,79.247,80.819,236.956,80.424,0.123,290.34,4.829,0.63,1,RHFE,,,88,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,2026.092,111.207,0_20160728_000959_092,28/07/2016,00:09:59,0,27/07/2016,12:09:59,12,PIPY,922,876,0.495829,BABA;MYBR;RHFE;MYNA;VEMU;PLAUR,951,54.875,32.72,3.499,67.493,54.348,57.597,113.669,56.828,1.465,379.78,3.135,226.07,1,PIPY PIPY MYO RHFE,,,2463,1,
Buckfastleigh,,119,T2,,20160725_233805.wac,0,1944.876,2.323,0_20160726_001029_876,26/07/2016,00:10:29,0,25/07/2016,12:10:29,12,RHFE,4,4,0.696645,,4,82.492,0.44,15.259,84.017,79.974,82.727,146.548,82.926,0.097,-225.096,15.259,1.04,1,RHFE,,,2569,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1881.256,42.243,0_20160726_001034_256,26/07/2016,00:10:34,0,25/07/2016,12:10:34,12,PIPY,289,266,0.464549,BABA;PIPI;RHFE;MYNA;MYBR;PLAUR;NYNO,302,54.719,35.86,3.435,66.77,54.013,57.32,128.669,56.651,1.308,307.496,3.148,81.78,1,PIPY PIPY RHFE PIPY RHFE RHFE PIPY,,,2254,3,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,2211.98,46.319,0_20160729_001105_980,29/07/2016,00:11:05,0,28/07/2016,12:11:05,12,PIPY,284,263,0.508884,BABA;RHFE;MYNA,290,55.08,36.26,3.738,66.187,54.241,57.454,149.551,56.841,1.347,305.902,3.447,101.12,1,RHFE PIPY MYO RHFE,,,2248,2,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1925.125,40.873,0_20160726_001118_125,26/07/2016,00:11:18,0,25/07/2016,12:11:18,12,PIPY,278,249,0.43658,BABA;RHFE;MYNA;EPSE;PLAUR,292,54.761,37.65,3.804,66.823,53.926,57.265,130.542,56.512,1.449,362.816,3.496,84.86,1,PIPY PIPY PIPY RHFE,,,2238,1,
